"purchase_date","total_price","promo_code","discount","sales_after_promo"
"2022-07-21",75000,"GRATIS_ONGKIR",5000,70000
"2022-07-15",117000,"GRATIS_ONGKIR",5000,112000
"2022-07-10",440000,"GRATIS_ONGKIR",5000,435000
"2022-07-09",229000,"TANPA_PROMO",0,229000
"2022-07-19",450000,"TANPA_PROMO",0,450000
"2022-07-28",299999,"GRATIS_ONGKIR",5000,294999
"2022-07-23",217500,"TANPA_PROMO",0,217500
"2022-07-27",360000,"GRATIS_ONGKIR",5000,355000
"2022-07-18",138000,"TANPA_PROMO",0,138000
"2022-07-29",538850,"GRATIS_ONGKIR",5000,533850
"2022-07-30",17244,"TANPA_PROMO",0,17244
"2022-07-28",130000,"TANPA_PROMO",0,130000
"2022-07-09",116000,"GRATIS_ONGKIR",5000,111000
"2022-07-05",485997,"TANPA_PROMO",0,485997
"2022-07-22",269425,"TANPA_PROMO",0,269425
"2022-07-05",119600,"GRATIS_ONGKIR",5000,114600
"2022-07-14",188000,"GRATIS_ONGKIR",5000,183000
"2022-07-19",32000,"GRATIS_ONGKIR",5000,27000
"2022-07-30",207000,"TANPA_PROMO",0,207000
"2022-07-20",149600,"GRATIS_ONGKIR",5000,144600
"2022-07-08",110000,"GRATIS_ONGKIR",5000,105000
"2022-07-09",53776,"TANPA_PROMO",0,53776
"2022-07-17",159000,"TANPA_PROMO",0,159000
"2022-07-12",55000,"GRATIS_ONGKIR",5000,50000
"2022-07-20",260000,"GRATIS_ONGKIR",5000,255000
"2022-07-04",104000,"TANPA_PROMO",0,104000
"2022-07-14",2025000,"TANPA_PROMO",0,2025000
"2022-07-22",179400,"TANPA_PROMO",0,179400
"2022-07-11",68888,"GRATIS_ONGKIR",5000,63888
"2022-07-14",1439000,"TANPA_PROMO",0,1439000
"2022-07-16",25000,"TANPA_PROMO",0,25000
"2022-07-10",66686,"TANPA_PROMO",0,66686
"2022-07-21",90000,"TANPA_PROMO",0,90000
"2022-07-06",162500,"GRATIS_ONGKIR",5000,157500
"2022-07-01",1670,"TANPA_PROMO",0,1670
"2022-07-29",99000,"TANPA_PROMO",0,99000
"2022-07-09",197500,"TANPA_PROMO",0,197500
"2022-07-06",25500,"GRATIS_ONGKIR",5000,20500
"2022-07-10",122052,"TANPA_PROMO",0,122052
"2022-07-21",21500,"TANPA_PROMO",0,21500
"2022-07-24",130000,"GRATIS_ONGKIR",5000,125000
"2022-07-09",120000,"GRATIS_ONGKIR",5000,115000
"2022-07-08",202710,"TANPA_PROMO",0,202710
"2022-07-21",291000,"TANPA_PROMO",0,291000
"2022-07-07",142000,"GRATIS_ONGKIR",5000,137000
"2022-07-02",239700,"GRATIS_ONGKIR",5000,234700
"2022-07-11",124900,"GRATIS_ONGKIR",5000,119900
"2022-07-19",415000,"TANPA_PROMO",0,415000
"2022-07-10",228000,"TANPA_PROMO",0,228000
"2022-07-20",240500,"TANPA_PROMO",0,240500
"2022-07-01",192000,"AWAL_GAJIAN",15000,177000
"2022-07-13",50000,"GRATIS_ONGKIR",5000,45000
"2022-07-13",36800,"TANPA_PROMO",0,36800
"2022-07-05",95800,"TANPA_PROMO",0,95800
"2022-07-25",299700,"GRATIS_ONGKIR",5000,294700
"2022-07-12",9900,"TANPA_PROMO",0,9900
"2022-07-24",74700,"TANPA_PROMO",0,74700
"2022-07-25",27000,"GRATIS_ONGKIR",5000,22000
"2022-07-10",200000,"TANPA_PROMO",0,200000
"2022-07-15",168750,"GRATIS_ONGKIR",5000,163750
"2022-07-12",80000,"TANPA_PROMO",0,80000
"2022-07-07",189000,"GRATIS_ONGKIR",5000,184000
"2022-07-09",68000,"GRATIS_ONGKIR",5000,63000
"2022-07-20",40500,"TANPA_PROMO",0,40500
"2022-07-30",25866,"TANPA_PROMO",0,25866
"2022-07-07",106000,"TANPA_PROMO",0,106000
"2022-07-03",101000,"GRATIS_ONGKIR",5000,96000
"2022-07-10",480000,"TANPA_PROMO",0,480000
"2022-07-15",390000,"GRATIS_ONGKIR",5000,385000
"2022-07-29",238000,"GRATIS_ONGKIR",5000,233000
"2022-07-01",98750,"TANPA_PROMO",0,98750
"2022-07-12",8550000,"TANPA_PROMO",0,8550000
"2022-07-08",25260,"GRATIS_ONGKIR",5000,20260
"2022-07-11",124800,"GRATIS_ONGKIR",5000,119800
"2022-07-08",66000,"TANPA_PROMO",0,66000
"2022-07-09",192060,"TANPA_PROMO",0,192060
"2022-07-14",105000,"GRATIS_ONGKIR",5000,100000
"2022-07-03",465000,"GRATIS_ONGKIR",5000,460000
