"purchase_date","promo_code","promo_ratio","total_price","sales_after_promo"
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",9998000,9993000
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",144000,139000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",315000,300000
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",154440,149440
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",1500000,1495000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",79900,79900
"2022-07-01","TANPA_PROMO","TANPA_PROMO",1670,1670
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",387810,372810
"2022-07-01","TANPA_PROMO","TANPA_PROMO",185000,185000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",100029,85029
"2022-07-01","TANPA_PROMO","TANPA_PROMO",17400,17400
"2022-07-01","TANPA_PROMO","TANPA_PROMO",189000,189000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",550000,550000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",1500000,1485000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",3380,3380
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",104000,99000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",14997000,14982000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",231000,216000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",267000,267000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",98750,98750
"2022-07-01","TANPA_PROMO","TANPA_PROMO",8760000,8760000
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",159000,154000
"2022-07-01","GRATIS_ONGKIR","APPLY_PROMO",110000,105000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",145000,130000
"2022-07-01","AWAL_GAJIAN","APPLY_PROMO",192000,177000
"2022-07-01","TANPA_PROMO","TANPA_PROMO",198000,198000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",229000,229000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",24250,24250
